"Ti","V","Nb","Mo","Ta"
0.000,0.000,54.108,45.892,0.000
21.025,15.920,28.207,27.582,7.266
19.349,20.646,22.451,24.969,12.586
14.811,14.819,15.972,14.842,39.556
27.679,23.990,28.381,19.950,0.000
17.316,12.165,15.142,15.550,39.827
28.679,21.047,24.527,16.408,9.338
21.496,16.665,26.888,18.689,16.263
25.896,31.731,17.537,24.836,0.000
28.836,24.562,24.937,21.666,0.000
17.392,15.435,18.748,15.942,32.483
19.819,12.300,20.664,15.141,32.076
21.765,23.771,19.731,22.487,12.246
15.392,10.907,18.331,18.123,37.247
20.244,19.913,26.453,12.689,20.702
10.642,14.066,17.123,18.391,39.778
17.006,17.065,15.979,26.850,23.099
25.183,21.810,17.469,33.811,1.728
18.080,14.321,23.312,25.810,18.477
15.931,25.579,29.666,25.054,3.769
10.634,15.568,19.376,19.963,34.459
20.281,22.039,17.161,20.448,20.071
8.667,11.089,21.520,12.812,45.912
8.686,11.960,13.435,20.693,45.227
9.035,11.402,13.481,23.898,42.183
6.829,9.706,15.238,18.801,49.425
11.279,9.938,11.131,18.236,49.416
6.742,9.328,16.048,17.967,49.915
8.535,11.219,16.159,15.036,49.051
10.626,11.304,13.975,17.260,46.835
12.787,14.509,11.355,22.100,39.249
6.124,6.918,16.270,21.533,49.154
5.941,7.755,18.755,17.940,49.609
5.796,8.861,10.628,21.206,53.509
9.784,9.892,14.416,17.317,48.593
7.641,9.067,12.733,17.939,52.621
15.975,17.007,16.070,27.467,23.481
7.310,10.647,18.265,14.092,49.686
10.821,12.010,14.453,23.681,39.035
11.286,15.375,20.752,30.941,21.646
7.209,8.221,15.889,18.919,49.762
15.042,16.817,18.817,24.658,24.665
8.628,11.873,18.653,12.702,48.145
6.037,10.363,17.428,18.658,47.514
8.106,10.964,12.825,22.606,45.499
8.108,9.225,15.969,21.796,44.903
5.955,7.767,18.514,18.393,49.372
8.293,7.392,16.439,15.523,52.353
9.905,9.522,13.857,15.630,51.086
8.314,2.863,16.524,24.750,47.549
6.512,8.051,17.526,24.609,43.302
8.252,9.967,12.698,17.699,51.383
8.019,7.016,18.222,19.756,46.986
7.899,11.773,13.793,17.405,49.130
9.996,7.486,18.463,15.460,48.595
9.455,9.869,18.819,19.717,42.139
13.015,18.814,15.739,24.396,28.035
9.049,9.704,17.139,24.190,39.919
8.504,6.692,12.648,23.445,48.712
8.124,8.446,13.349,14.192,55.889
7.744,5.963,16.788,16.381,53.124
7.519,5.629,15.168,20.899,50.784
8.034,9.079,12.724,17.696,52.467
7.610,9.522,12.893,19.641,50.335
