"Ti","V","Nb","Mo","Ta"
8.673,9.003,18.344,20.882,43.098
10.063,8.661,19.648,21.105,40.523
10.731,12.076,21.571,23.458,32.164
13.620,12.519,17.683,23.585,32.593
13.445,15.031,19.242,19.648,32.633
14.619,12.516,21.982,18.258,32.625
16.012,13.672,19.545,19.840,30.931
16.260,13.909,18.713,20.462,30.656
16.838,13.946,21.792,21.535,25.888
17.803,15.086,18.705,20.134,28.272
18.489,16.553,21.523,18.863,24.571
18.181,14.646,20.012,17.360,29.801
18.955,16.599,19.359,19.739,25.349
20.114,15.814,19.880,20.164,24.028
18.275,15.571,21.168,17.670,27.316
16.984,14.163,20.029,19.228,29.596
16.814,15.200,19.592,20.071,28.324
19.395,15.180,22.417,18.106,24.901
18.215,15.540,20.568,20.981,24.696
16.458,14.277,24.143,18.532,26.590
17.751,15.192,20.551,20.040,26.467
15.853,13.805,22.251,19.225,28.867
15.182,14.227,18.432,20.239,31.919
14.462,14.230,19.980,20.168,31.160
13.788,11.561,19.660,21.643,33.348
12.512,12.693,19.786,24.934,30.075
13.028,12.496,17.412,23.404,33.660
12.288,11.612,18.827,20.781,36.492
12.046,10.930,19.660,21.640,35.723
12.001,11.235,20.827,21.691,34.246
9.958,10.558,20.147,22.874,36.463
10.192,9.921,21.844,22.365,35.678
9.073,9.205,18.752,25.139,37.831
9.781,8.764,19.108,23.817,38.530
10.488,9.836,18.238,20.704,40.734
8.178,8.534,19.520,23.481,40.288
8.445,9.094,17.674,22.948,41.840
8.712,7.317,18.742,25.644,39.586
9.014,9.671,18.902,21.171,41.242
8.866,8.336,18.314,24.382,40.101
6.198,8.346,20.173,23.445,41.837
8.180,7.679,20.150,23.107,40.884
9.623,7.460,17.127,23.643,42.148
8.786,9.237,17.159,25.202,39.616
8.908,7.460,16.894,24.101,42.637
6.605,7.945,18.405,24.405,42.641
8.015,7.358,17.496,23.767,43.364
7.729,8.866,17.078,24.606,41.722
7.968,8.318,18.416,21.393,43.905
8.914,7.783,18.253,21.886,43.163
8.254,8.441,21.800,23.628,37.876
9.116,9.186,13.999,23.250,44.449
8.128,8.607,21.054,23.579,38.632
7.447,8.229,19.323,22.521,42.479
8.594,7.980,19.098,22.881,41.447
9.442,9.109,19.366,23.753,38.330
7.923,9.205,19.322,23.315,40.235
9.846,6.739,18.614,26.170,38.631
7.534,9.212,20.157,22.366,40.731
8.755,10.070,19.267,23.704,38.204
8.075,8.302,19.472,22.138,42.012
10.169,9.719,17.850,23.037,39.225
9.184,9.328,16.805,25.277,39.406
8.692,8.850,19.523,23.677,39.258
